date;age_group;realized7
2021-11-18;0-59;909
2021-11-18;60+;1810
2021-11-18;all;2719
2021-11-17;0-59;911
2021-11-17;60+;1784
2021-11-17;all;2695
2021-11-16;0-59;910
2021-11-16;60+;1707
2021-11-16;all;2617
2021-11-15;0-59;859
2021-11-15;60+;1634
2021-11-15;all;2493
2021-11-14;0-59;825
2021-11-14;60+;1520
2021-11-14;all;2345
2021-11-13;0-59;782
2021-11-13;60+;1494
2021-11-13;all;2277
2021-11-12;0-59;763
2021-11-12;60+;1387
2021-11-12;all;2151
2021-11-11;0-59;733
2021-11-11;60+;1349
2021-11-11;all;2083
2021-11-10;0-59;718
2021-11-10;60+;1310
2021-11-10;all;2029
2021-11-09;0-59;688
2021-11-09;60+;1269
2021-11-09;all;1958
2021-11-08;0-59;686
2021-11-08;60+;1240
2021-11-08;all;1927
2021-11-07;0-59;615
2021-11-07;60+;1173
2021-11-07;all;1789
2021-11-06;0-59;580
2021-11-06;60+;1045
2021-11-06;all;1625
2021-11-05;0-59;579
2021-11-05;60+;1053
2021-11-05;all;1632
2021-11-04;0-59;568
2021-11-04;60+;1038
2021-11-04;all;1606
2021-11-03;0-59;507
2021-11-03;60+;976
2021-11-03;all;1483
2021-11-02;0-59;479
2021-11-02;60+;917
2021-11-02;all;1396
2021-11-01;0-59;434
2021-11-01;60+;825
2021-11-01;all;1259
2021-10-31;0-59;469
2021-10-31;60+;764
2021-10-31;all;1233
2021-10-30;0-59;481
2021-10-30;60+;774
2021-10-30;all;1255
2021-10-29;0-59;462
2021-10-29;60+;738
2021-10-29;all;1200
2021-10-28;0-59;454
2021-10-28;60+;681
2021-10-28;all;1135
2021-10-27;0-59;454
2021-10-27;60+;634
2021-10-27;all;1088
2021-10-26;0-59;422
2021-10-26;60+;601
2021-10-26;all;1023
2021-10-25;0-59;409
2021-10-25;60+;580
2021-10-25;all;989
2021-10-24;0-59;398
2021-10-24;60+;561
2021-10-24;all;959
2021-10-23;0-59;385
2021-10-23;60+;564
2021-10-23;all;949
2021-10-22;0-59;378
2021-10-22;60+;540
2021-10-22;all;918
2021-10-21;0-59;354
2021-10-21;60+;531
2021-10-21;all;885
2021-10-20;0-59;330
2021-10-20;60+;500
2021-10-20;all;830
2021-10-19;0-59;330
2021-10-19;60+;466
2021-10-19;all;796
2021-10-18;0-59;310
2021-10-18;60+;430
2021-10-18;all;740
2021-10-17;0-59;266
2021-10-17;60+;386
2021-10-17;all;652
2021-10-16;0-59;261
2021-10-16;60+;344
2021-10-16;all;605
2021-10-15;0-59;259
2021-10-15;60+;336
2021-10-15;all;595
2021-10-14;0-59;261
2021-10-14;60+;320
2021-10-14;all;581
2021-10-13;0-59;263
2021-10-13;60+;307
2021-10-13;all;570
2021-10-12;0-59;234
2021-10-12;60+;305
2021-10-12;all;539
2021-10-11;0-59;227
2021-10-11;60+;290
2021-10-11;all;517
2021-10-10;0-59;220
2021-10-10;60+;292
2021-10-10;all;512
