date;age60;reported;nowcast_est;nowcast_0.025;nowcast_0.975;reported7;nowcast7_est;nowcast7_0.025;nowcast7_0.975;F_est;F_0.025;F_0.975
2021-11-18;0-60;28;222,0;176;281;416;919,9;844;1014;0,1261038423454736;0,152385638824511;0,1018891845399393
2021-11-18;60+;37;373,5;298;473;785;1771,1;1639;1941;0,0990517460100714;0,120622409644627;0,0792777955529784
2021-11-18;alle;65;595,6;484;744;1201;2691,0;2497;2938;NA;NA;NA
2021-11-17;0-60;35;112,2;92;136;457;798,6;749;857;0,3119809888796815;0,349757730816579;0,2748244051535261
2021-11-17;60+;72;255,5;217;300;885;1600,7;1513;1705;0,2817698173574663;0,316420296807317;0,2469472761642610
2021-11-17;alle;107;367,7;317;428;1342;2399,3;2278;2546;NA;NA;NA
2021-11-16;0-60;80;169,5;148;194;522;819,7;776;872;0,4718772463462278;0,508257350277542;0,4329481646072610
2021-11-16;60+;125;278,4;247;315;954;1534,8;1464;1619;0,4490298016644670;0,485115858423346;0,4119935745196012
2021-11-16;alle;205;447,9;405;499;1476;2354,5;2256;2475;NA;NA;NA
2021-11-15;0-60;70;114,0;100;129;523;753,4;716;795;0,6140998500813610;0,645455865699954;0,5793210491121336
2021-11-15;60+;167;279,4;255;307;969;1435,8;1377;1505;0,5977365106290035;0,628528288335367;0,5640797236170566
2021-11-15;alle;237;393,4;363;429;1492;2189,1;2107;2287;NA;NA;NA
2021-11-14;0-60;59;88,6;78;101;537;741,4;708;780;0,6660717908452458;0,696207841559026;0,6318105326707696
2021-11-14;60+;128;196,4;178;217;992;1387,5;1336;1449;0,6517480891931896;0,682004990647997;0,6174280129519436
2021-11-14;alle;187;285,0;263;311;1529;2128,9;2057;2215;NA;NA;NA
2021-11-13;0-60;81;119,7;107;134;537;724,0;692;761;0,6767376669325823;0,705926228277523;0,6433983872122965
2021-11-13;60+;118;178,0;162;197;990;1343,6;1296;1400;0,6630602672169795;0,692737329560529;0,6297626291782297
2021-11-13;alle;199;297,7;276;323;1527;2067,6;2000;2147;NA;NA;NA
2021-11-12;0-60;63;93,9;83;106;528;692,4;663;726;0,6709179338066151;0,698502590938906;0,6382761410283524
2021-11-12;60+;138;209,9;192;231;973;1289,1;1245;1341;0,6573821603528867;0,685083683307032;0,6255012821949341
2021-11-12;alle;201;303,8;282;330;1501;1981,5;1921;2053;NA;NA;NA
2021-11-11;0-60;69;100,7;90;114;548;702,1;674;734;0,6854197988171711;0,712623185636157;0,6529724283607453
2021-11-11;60+;137;203,2;186;222;1014;1301,5;1259;1351;0,6743098691514449;0,700677458882964;0,6423786286878355
2021-11-11;alle;206;303,8;283;329;1562;2003,6;1946;2071;NA;NA;NA
2021-11-10;0-60;100;133,3;122;146;552;692,3;666;723;0,7500668903356180;0,773827367977115;0,7222492328876816
2021-11-10;60+;141;189,6;176;205;1038;1296,6;1257;1342;0,7436745948703330;0,766329951465273;0,7171213039564404
2021-11-10;alle;241;322,9;304;345;1590;1988,9;1935;2054;NA;NA;NA
2021-11-09;0-60;81;103,2;94;114;534;656,2;632;684;0,7846540505867428;0,805968495547456;0,7596135417108493
2021-11-09;60+;140;179,3;167;194;1071;1310,3;1272;1355;0,7807561713801818;0,801146422952267;0,7571137049219470
2021-11-09;alle;221;282,5;266;301;1605;1966,5;1916;2027;NA;NA;NA
2021-11-08;0-60;84;102,0;94;111;543;657,1;634;684;0,8237999563166941;0,841864993678577;0,8020123665992621
2021-11-08;60+;190;231,2;218;246;1096;1318,9;1283;1361;0,8218511523395304;0,839184369188853;0,8014595285659607
2021-11-08;alle;274;333,2;317;351;1639;1976,0;1929;2034;NA;NA;NA
2021-11-07;0-60;59;71,3;65;79;512;614,8;593;640;0,8279853333588197;0,846606826779733;0,8045793727614395
2021-11-07;60+;126;152,4;143;164;1029;1223,8;1191;1262;0,8267604400656858;0,844785757904259;0,8042695932275021
