date;age_group;reported;nowcast_est;nowcast_0.025;nowcast_0.975;reported7;nowcast7_est;nowcast7_0.025;nowcast7_0.975;F_est;F_0.025;F_0.975
2021-11-18;0-59;16;103,1;80;133;357;815,4;748;896;0,155249170620636;0,184201045520482;0,128156147629849
2021-11-18;60+;60;339,4;283;412;845;1779,6;1665;1923;0,176783155972291;0,205437682917844;0,149224961110046
2021-11-18;all;76;442,5;371;534;1202;2595,1;2435;2796;NA;NA;NA
2021-11-17;0-59;52;183,0;153;218;439;858,5;799;928;0,284092728183241;0,320101848628539;0,248808987925399
2021-11-17;60+;105;314,4;275;361;951;1672,6;1587;1775;0,334018574966008;0,368496365769600;0,298913927619840
2021-11-17;all;157;497,4;439;569;1390;2531,1;2406;2684;NA;NA;NA
2021-11-16;0-59;68;156,1;135;181;483;805,4;759;860;0,435481964184697;0,471118858371831;0,397176410313088
2021-11-16;60+;182;363,6;330;402;1023;1588,0;1518;1670;0,500540468425631;0,533609798837243;0,464660394897468
2021-11-16;all;250;519,8;475;573;1506;2393,4;2297;2511;NA;NA;NA
2021-11-15;0-59;57;91,3;80;105;513;771,7;733;817;0,624112362772972;0,657633572113968;0,587612663413355
2021-11-15;60+;138;202,4;186;222;1039;1466,0;1409;1532;0,681962682657186;0,710716577231356;0,650107305612667
2021-11-15;all;195;293,7;272;319;1552;2237,7;2161;2330;NA;NA;NA
2021-11-14;0-59;32;55,4;46;66;519;752,7;716;795;0,578128909253147;0,615292318827615;0,536472406255503
2021-11-14;60+;101;157,3;142;176;1076;1462,7;1410;1524;0,642100454822066;0,674533273844047;0,604767505342146
2021-11-14;all;133;212,6;193;236;1595;2215,4;2143;2301;NA;NA;NA
2021-11-13;0-59;53;98,8;85;114;525;742,5;708;783;0,536487600452949;0,572730823815979;0,497153376901177
2021-11-13;60+;99;164,5;147;184;1059;1404,8;1356;1462;0,601843146535698;0,635199771831104;0,564971289046712
2021-11-13;all;152;263,3;239;291;1584;2147,3;2080;2226;NA;NA;NA
2021-11-12;0-59;79;127,7;114;144;536;722,5;691;758;0,618495977354519;0,648217362971246;0,584814539017306
2021-11-12;60+;160;238,1;219;260;1065;1369,8;1326;1422;0,671926745587005;0,698826021437809;0,641437889040566
2021-11-12;all;239;365,9;340;395;1601;2092,2;2032;2164;NA;NA;NA
